криптовалюта
Файл    Количество вхождений термина в документе     Количество слов в документе              tf                        idf                         tf-idf                      
======================================================================================================================================================
1.txt                      43                                     1591                  0.027027                         1.0                    0.027027
10.txt                     44                                     1926                  0.022845                         1.0                    0.022845
100.txt                    35                                     1851                  0.018909                         1.0                    0.018909
11.txt                     53                                     3415                   0.01552                         1.0                     0.01552
12.txt                     40                                     4215                   0.00949                         1.0                     0.00949
13.txt                     37                                     3276                  0.011294                         1.0                    0.011294
14.txt                     46                                     4093                  0.011239                         1.0                    0.011239
15.txt                     61                                     2568                  0.023754                         1.0                    0.023754
16.txt                     44                                     1886                   0.02333                         1.0                     0.02333
17.txt                     51                                     3732                  0.013666                         1.0                    0.013666
18.txt                     49                                     2382                  0.020571                         1.0                    0.020571
19.txt                     54                                     2030                  0.026601                         1.0                    0.026601
2.txt                      50                                     1452                  0.034435                         1.0                    0.034435
20.txt                     67                                     3098                  0.021627                         1.0                    0.021627
21.txt                     46                                     2225                  0.020674                         1.0                    0.020674
22.txt                     51                                     2642                  0.019304                         1.0                    0.019304
23.txt                     48                                     2530                  0.018972                         1.0                    0.018972
24.txt                     55                                     2152                  0.025558                         1.0                    0.025558
25.txt                     52                                     2167                  0.023996                         1.0                    0.023996
26.txt                     60                                     2378                  0.025231                         1.0                    0.025231
27.txt                     55                                     2358                  0.023325                         1.0                    0.023325
28.txt                     51                                     2023                   0.02521                         1.0                     0.02521
29.txt                     54                                     2207                  0.024468                         1.0                    0.024468
3.txt                      32                                     1404                  0.022792                         1.0                    0.022792
30.txt                     52                                     2236                  0.023256                         1.0                    0.023256
31.txt                     55                                     3666                  0.015003                         1.0                    0.015003
32.txt                     42                                     2766                  0.015184                         1.0                    0.015184
33.txt                     38                                     1643                  0.023128                         1.0                    0.023128
34.txt                     49                                     3128                  0.015665                         1.0                    0.015665
35.txt                     79                                     5008                  0.015775                         1.0                    0.015775
36.txt                     45                                     3078                   0.01462                         1.0                     0.01462
37.txt                     47                                     2581                   0.01821                         1.0                     0.01821
38.txt                     54                                     2814                   0.01919                         1.0                     0.01919
39.txt                    100                                     5745                  0.017406                         1.0                    0.017406
4.txt                      36                                     2366                  0.015216                         1.0                    0.015216
40.txt                     43                                     2345                  0.018337                         1.0                    0.018337
41.txt                     45                                     2403                  0.018727                         1.0                    0.018727
42.txt                     43                                     2458                  0.017494                         1.0                    0.017494
43.txt                     39                                     2374                  0.016428                         1.0                    0.016428
44.txt                     40                                     2259                  0.017707                         1.0                    0.017707
45.txt                     34                                     1874                  0.018143                         1.0                    0.018143
46.txt                     80                                     5758                  0.013894                         1.0                    0.013894
47.txt                     42                                     2430                  0.017284                         1.0                    0.017284
48.txt                     39                                     2345                  0.016631                         1.0                    0.016631
49.txt                     37                                     2357                  0.015698                         1.0                    0.015698
5.txt                      47                                     3171                  0.014822                         1.0                    0.014822
50.txt                     42                                     2307                  0.018205                         1.0                    0.018205
51.txt                     43                                     2355                  0.018259                         1.0                    0.018259
52.txt                     34                                     1853                  0.018349                         1.0                    0.018349
53.txt                     70                                     5199                  0.013464                         1.0                    0.013464
54.txt                     34                                     1809                  0.018795                         1.0                    0.018795
55.txt                     34                                     1811                  0.018774                         1.0                    0.018774
56.txt                     34                                     1803                  0.018857                         1.0                    0.018857
57.txt                     34                                     1811                  0.018774                         1.0                    0.018774
58.txt                     34                                     1808                  0.018805                         1.0                    0.018805
59.txt                     34                                     1808                  0.018805                         1.0                    0.018805
6.txt                      29                                     1816                  0.015969                         1.0                    0.015969
60.txt                     68                                     5626                  0.012087                         1.0                    0.012087
61.txt                     34                                     1851                  0.018368                         1.0                    0.018368
62.txt                     34                                     1849                  0.018388                         1.0                    0.018388
63.txt                     34                                     1844                  0.018438                         1.0                    0.018438
64.txt                     34                                     1849                  0.018388                         1.0                    0.018388
65.txt                     34                                     1843                  0.018448                         1.0                    0.018448
66.txt                     34                                     1845                  0.018428                         1.0                    0.018428
67.txt                     70                                     5235                  0.013372                         1.0                    0.013372
68.txt                     35                                     1854                  0.018878                         1.0                    0.018878
69.txt                     35                                     1855                  0.018868                         1.0                    0.018868
7.txt                      49                                     1842                  0.026602                         1.0                    0.026602
70.txt                     35                                     1848                  0.018939                         1.0                    0.018939
71.txt                     35                                     1857                  0.018848                         1.0                    0.018848
72.txt                     35                                     1851                  0.018909                         1.0                    0.018909
73.txt                     35                                     1852                  0.018898                         1.0                    0.018898
74.txt                     67                                     3710                  0.018059                         1.0                    0.018059
75.txt                     34                                     1800                  0.018889                         1.0                    0.018889
76.txt                     34                                     1801                  0.018878                         1.0                    0.018878
77.txt                     34                                     1796                  0.018931                         1.0                    0.018931
78.txt                     34                                     1804                  0.018847                         1.0                    0.018847
79.txt                     34                                     1798                   0.01891                         1.0                     0.01891
8.txt                      48                                     1665                  0.028829                         1.0                    0.028829
80.txt                     34                                     1801                  0.018878                         1.0                    0.018878
