цена биткойна сегодня
Index: 41  Cosine:0.9853521165262056
Index: 4  Cosine:0.056665737125291486
Index: 89  Cosine:0.05662429794146606
Index: 45  Cosine:0.05654277904772035
Index: 70  Cosine:0.056542161452260514
Index: 93  Cosine:0.056542161452260514
Index: 100  Cosine:0.056541297656171254
Index: 72  Cosine:0.056541297656171254
Index: 73  Cosine:0.056541297656171254
Index: 91  Cosine:0.056541297656171254
Index: 94  Cosine:0.056541297656171254
Index: 98  Cosine:0.056541297656171254
Index: 77  Cosine:0.05654097398589434
Index: 79  Cosine:0.05654097398589434
Index: 84  Cosine:0.05654097398589434
Index: 52  Cosine:0.05654042854967426
Index: 92  Cosine:0.05654042854967426
Index: 71  Cosine:0.05653955409290007
Index: 99  Cosine:0.05653955409290007
Index: 1  Cosine:0.05653934619668547
Index: 56  Cosine:0.05653927890177521
Index: 80  Cosine:0.05653927890177521
Index: 86  Cosine:0.05653927890177521
Index: 87  Cosine:0.05653927890177521
Index: 78  Cosine:0.05653842374999538
Index: 85  Cosine:0.05653842374999538
Index: 58  Cosine:0.05653756347561643
Index: 59  Cosine:0.05653756347561643
Index: 57  Cosine:0.05653669804113873
Index: 96  Cosine:0.05649732663307987
Index: 63  Cosine:0.056495202756739665
Index: 65  Cosine:0.056495202756739665
Index: 66  Cosine:0.056495202756739665
Index: 64  Cosine:0.056493068432905094
Index: 61  Cosine:0.05644826131595208
Index: 69  Cosine:0.05633712531508667
Index: 90  Cosine:0.05633712531508667
Index: 76  Cosine:0.05633486090715292
Index: 97  Cosine:0.05633482646520558
Index: 83  Cosine:0.05633261388687672
Index: 55  Cosine:0.056330349914778303
Index: 62  Cosine:0.05624530357911705
Index: 43  Cosine:0.05620760904716537
Index: 75  Cosine:0.05616171642029962
Index: 82  Cosine:0.05615859032401916
Index: 68  Cosine:0.056155856958297924
Index: 54  Cosine:0.056152269119031414
Index: 51  Cosine:0.05613458284380698
Index: 42  Cosine:0.056050219639457194
Index: 38  Cosine:0.05597178379070252
Index: 44  Cosine:0.05595019706994412
Index: 2  Cosine:0.05594181266569562
Index: 40  Cosine:0.055894830208216416
Index: 48  Cosine:0.05558086758345477
Index: 49  Cosine:0.05557312654716818
Index: 50  Cosine:0.055563800962711116
Index: 9  Cosine:0.05543504148466423
Index: 47  Cosine:0.05528027294044305
Index: 81  Cosine:0.0550272379354269
Index: 7  Cosine:0.05480101910191973
Index: 20  Cosine:0.0547986144554503
Index: 37  Cosine:0.0542784865900865
Index: 25  Cosine:0.05427149665527465
Index: 28  Cosine:0.052978277405871584
Index: 88  Cosine:0.05106269705509754
Index: 74  Cosine:0.050986396016529885
Index: 60  Cosine:0.04718725944524475
Index: 95  Cosine:0.045607914614897736
Index: 46  Cosine:0.042910851784979324
Index: 53  Cosine:0.04238528486547005
Index: 35  Cosine:0.040877144182401896
Index: 39  Cosine:0.040760690702321974
Index: 67  Cosine:0.040096418418895066
Index: 14  Cosine:0.035170401466413655
Index: 5  Cosine:0.0343309949446952
Index: 13  Cosine:0.015429675649781446
Index: 17  Cosine:0.014130817288558783
Index: 10  Cosine:0.0021788179120499664
Index: 11  Cosine:0.0021788179120499664
Index: 12  Cosine:0.0021788179120499664
Index: 15  Cosine:0.0021788179120499664
Index: 16  Cosine:0.0021788179120499664
Index: 18  Cosine:0.0021788179120499664
Index: 19  Cosine:0.0021788179120499664
Index: 21  Cosine:0.0021788179120499664
Index: 22  Cosine:0.0021788179120499664
Index: 23  Cosine:0.0021788179120499664
Index: 24  Cosine:0.0021788179120499664
Index: 26  Cosine:0.0021788179120499664
Index: 27  Cosine:0.0021788179120499664
Index: 29  Cosine:0.0021788179120499664
Index: 3  Cosine:0.0021788179120499664
Index: 30  Cosine:0.0021788179120499664
Index: 31  Cosine:0.0021788179120499664
Index: 32  Cosine:0.0021788179120499664
Index: 33  Cosine:0.0021788179120499664
Index: 34  Cosine:0.0021788179120499664
Index: 36  Cosine:0.0021788179120499664
Index: 8  Cosine:0.0021788179120499664
Index: 6  Cosine:0.0
