цена соланы
Index: 88  Cosine:0.9999999007567959
Index: 30  Cosine:0.9986831808444768
Index: 9  Cosine:0.99852157783277
Index: 1  Cosine:0.0028660466256207233
Index: 10  Cosine:0.0028660466256207233
Index: 100  Cosine:0.0028660466256207233
Index: 11  Cosine:0.0028660466256207233
Index: 12  Cosine:0.0028660466256207233
Index: 13  Cosine:0.0028660466256207233
Index: 14  Cosine:0.0028660466256207233
Index: 15  Cosine:0.0028660466256207233
Index: 16  Cosine:0.0028660466256207233
Index: 17  Cosine:0.0028660466256207233
Index: 18  Cosine:0.0028660466256207233
Index: 19  Cosine:0.0028660466256207233
Index: 2  Cosine:0.0028660466256207233
Index: 20  Cosine:0.0028660466256207233
Index: 21  Cosine:0.0028660466256207233
Index: 22  Cosine:0.0028660466256207233
Index: 23  Cosine:0.0028660466256207233
Index: 24  Cosine:0.0028660466256207233
Index: 25  Cosine:0.0028660466256207233
Index: 26  Cosine:0.0028660466256207233
Index: 27  Cosine:0.0028660466256207233
Index: 28  Cosine:0.0028660466256207233
Index: 29  Cosine:0.0028660466256207233
Index: 3  Cosine:0.0028660466256207233
Index: 31  Cosine:0.0028660466256207233
Index: 32  Cosine:0.0028660466256207233
Index: 33  Cosine:0.0028660466256207233
Index: 34  Cosine:0.0028660466256207233
Index: 35  Cosine:0.0028660466256207233
Index: 36  Cosine:0.0028660466256207233
Index: 37  Cosine:0.0028660466256207233
Index: 38  Cosine:0.0028660466256207233
Index: 39  Cosine:0.0028660466256207233
Index: 4  Cosine:0.0028660466256207233
Index: 40  Cosine:0.0028660466256207233
Index: 41  Cosine:0.0028660466256207233
Index: 42  Cosine:0.0028660466256207233
Index: 43  Cosine:0.0028660466256207233
Index: 44  Cosine:0.0028660466256207233
Index: 45  Cosine:0.0028660466256207233
Index: 46  Cosine:0.0028660466256207233
Index: 47  Cosine:0.0028660466256207233
Index: 48  Cosine:0.0028660466256207233
Index: 49  Cosine:0.0028660466256207233
Index: 5  Cosine:0.0028660466256207233
Index: 50  Cosine:0.0028660466256207233
Index: 51  Cosine:0.0028660466256207233
Index: 52  Cosine:0.0028660466256207233
Index: 53  Cosine:0.0028660466256207233
Index: 54  Cosine:0.0028660466256207233
Index: 55  Cosine:0.0028660466256207233
Index: 56  Cosine:0.0028660466256207233
Index: 57  Cosine:0.0028660466256207233
Index: 58  Cosine:0.0028660466256207233
Index: 59  Cosine:0.0028660466256207233
Index: 60  Cosine:0.0028660466256207233
Index: 61  Cosine:0.0028660466256207233
Index: 62  Cosine:0.0028660466256207233
Index: 63  Cosine:0.0028660466256207233
Index: 64  Cosine:0.0028660466256207233
Index: 65  Cosine:0.0028660466256207233
Index: 66  Cosine:0.0028660466256207233
Index: 67  Cosine:0.0028660466256207233
Index: 68  Cosine:0.0028660466256207233
Index: 69  Cosine:0.0028660466256207233
Index: 7  Cosine:0.0028660466256207233
Index: 70  Cosine:0.0028660466256207233
Index: 71  Cosine:0.0028660466256207233
Index: 72  Cosine:0.0028660466256207233
Index: 73  Cosine:0.0028660466256207233
Index: 74  Cosine:0.0028660466256207233
Index: 75  Cosine:0.0028660466256207233
Index: 76  Cosine:0.0028660466256207233
Index: 77  Cosine:0.0028660466256207233
Index: 78  Cosine:0.0028660466256207233
Index: 79  Cosine:0.0028660466256207233
Index: 8  Cosine:0.0028660466256207233
Index: 80  Cosine:0.0028660466256207233
Index: 81  Cosine:0.0028660466256207233
Index: 82  Cosine:0.0028660466256207233
Index: 83  Cosine:0.0028660466256207233
Index: 84  Cosine:0.0028660466256207233
Index: 85  Cosine:0.0028660466256207233
Index: 86  Cosine:0.0028660466256207233
Index: 87  Cosine:0.0028660466256207233
Index: 89  Cosine:0.0028660466256207233
Index: 90  Cosine:0.0028660466256207233
Index: 91  Cosine:0.0028660466256207233
Index: 92  Cosine:0.0028660466256207233
Index: 93  Cosine:0.0028660466256207233
Index: 94  Cosine:0.0028660466256207233
Index: 95  Cosine:0.0028660466256207233
Index: 96  Cosine:0.0028660466256207233
Index: 97  Cosine:0.0028660466256207233
Index: 98  Cosine:0.0028660466256207233
Index: 99  Cosine:0.0028660466256207233
Index: 6  Cosine:0.0
